item_name,total_revenue,revenue_rank,dense_rank,row_number
Android Iconic Sticker Sheet,38.0,348,282,348
Google Boulder Campus Tote,36.0,349,283,349
Google LA Campus Lapel Pin,36.0,349,283,350
Google Pen Red,36.0,349,283,351
#IamRemarkable Lapel Pin,35.0,352,284,353
Android Iconic Pen,35.0,352,284,352
Google Jotter Task Pad,34.0,354,285,354
Google Confetti Pen White,33.0,355,286,355
Google Striped Penny Pouch,33.0,355,286,356
Google Bottle Cleaner,32.0,357,287,357
Google Cloth & Pouch Black,30.0,358,288,360
Android Geek Pin,30.0,358,288,358
Google Cambridge Campus Tote,30.0,358,288,359
Google Seattle Campus Sticker,29.0,361,289,362
Android Jotter Task Pad,29.0,361,289,361
Google SF Campus Mug,28.0,363,290,363
Google Seattle Campus Unisex Tee,28.0,363,290,364
Google Frisbee,27.0,365,291,365
Google Tonal Tee Spearmint,27.0,365,291,366
YouTube Small Sticker Sheet,26.0,367,292,368
Stainless Bent Straw/Cleaner,26.0,367,292,367
Google Recycled Pen Green,24.0,369,293,369
Android Iconic Bottle Black,24.0,369,293,370
Unisex Google Jumbo Print Tee White,24.0,369,293,371
Android Iconic 4&quot; Decal,23.0,372,294,374
Google Boulder Campus Sticker,23.0,372,294,372
Google Seattle Campus Lapel Pin,23.0,372,294,373
Google PNW Campus Lapel Pin,21.0,375,295,376
Google Chicago Campus Lapel Pin,21.0,375,295,375
Google Cambridge Campus Sticker,20.0,377,296,377
Google Women's Eco Tee Black,18.0,378,297,379
Android Pocket Onesie White,18.0,378,297,378
Android Pocket Toddler Tee White,18.0,378,297,380
Google Cambridge Campus Lapel Pin,15.0,381,298,381
Google Women's Ringer Tee,14.0,382,299,382
Google Mountain View Tee Red,14.0,382,299,383
Google Sunnyvale Campus Sticker,13.0,384,300,385
Google Boulder Campus Lapel Pin,13.0,384,300,384
Google Mountain View Campus Sticker,10.0,386,301,387
Google Kirkland Campus Sticker,10.0,386,301,386
Google PNW Campus Sticker,9.0,388,302,388
Google Bellevue Campus Sticker,8.0,389,303,390
Candy Cane Android Cardboard Sculpture,8.0,389,303,389
Google Kirkland Campus Lapel Pin,6.0,391,304,391
Google Separating Keyring,6.0,391,304,392
Android Flex Journal White,4.0,393,305,393
Google Stylus Pen w/ LED Light,4.0,393,305,394
Google Light Pen Yellow,2.0,395,306,395
(not set),,396,307,396
